ENERGY,L,B,TIME
219.1508026123047,262.865478515625,-20.93785285949707,243216773.29129252
160.13931274414062,271.4554748535156,-13.987093925476074,243216405.99857077
174.37135314941406,268.7574768066406,-14.114494323730469,243216677.16814733
523.5563354492188,267.94500732421875,-16.138046264648438,243216696.2966625
301.2044677734375,270.0207214355469,-13.936010360717773,243216769.64509803
154.85987854003906,268.8592529296875,-11.688334465026855,243216770.57706016
292.0396728515625,269.3240051269531,-13.22767162322998,243216770.5880356
256.416015625,269.7627258300781,-13.245923042297363,243216771.31549177
125.69283294677734,270.3750915527344,-14.3324556350708,243216771.33452037
151.3258056640625,269.6025695800781,-15.619322776794434,243216771.38430968
106.8595199584961,269.5916748046875,-13.719758033752441,243216771.47398925
125.3302230834961,266.7316589355469,-16.26399803161621,243216771.61588818
236.1548614501953,268.7487487792969,-12.690552711486816,243216772.10383472
129.05270385742188,270.57403564453125,-13.190797805786133,243216772.17440283
192.8409423828125,269.12225341796875,-13.041175842285156,243216772.2646217
111.86685943603516,272.51568603515625,-12.728498458862305,243216772.31899375
381.3141174316406,270.5966491699219,-12.78776741027832,243216772.33481267
581.941650390625,269.84722900390625,-13.55992603302002,243216772.47456524
133.32127380371094,274.81939697265625,-17.200233459472656,243216772.5315479
473.31170654296875,270.18768310546875,-12.307857513427734,243216772.67878827
425.1531066894531,271.308837890625,-15.273584365844727,243216772.69168505
1693.60693359375,270.3010559082031,-13.849312782287598,243216772.69213745
102.48834991455078,272.48431396484375,-15.246589660644531,243216772.74345303
572.97412109375,271.92388916015625,-13.575111389160156,243216772.80840573
185.39126586914062,268.7966613769531,-16.25070571899414,243216772.86677778
664.7754516601562,270.0270080566406,-13.523224830627441,243216772.98481885
296.4000244140625,268.9176330566406,-13.854708671569824,243216773.05720937
298.3512268066406,269.07366943359375,-11.703680038452148,243216773.08033645
212.8162078857422,271.0950927734375,-13.390687942504883,243216773.2118824
440.7026672363281,268.3577575683594,-13.492461204528809,243216773.35245088
