ENERGY,L,B,TIME
134.73684692382812,353.9983215332031,68.15949249267578,418090210.5129808
814.6373901367188,352.4229736328125,72.01904296875,418090227.61154634
185.36294555664062,339.6974182128906,59.93327331542969,418089715.74833965
298.30804443359375,338.42706298828125,60.58847427368164,418089990.0895184
660.173583984375,339.38507080078125,64.46247863769531,418090210.04443884
217.72166442871094,337.1377868652344,65.31359100341797,418090210.1529241
181.68397521972656,333.0466613769531,67.21602630615234,418090210.35051006
133.20263671875,332.7316589355469,63.54375457763672,418090210.55381036
589.0891723632812,338.7237243652344,64.53145599365234,418090212.9666375
352.4628601074219,336.7608337402344,64.14603424072266,418090216.1650595
3657.05517578125,339.2434997558594,64.6124267578125,418090218.7228421
629.3634033203125,339.8476257324219,64.4492416381836,418090219.02628076
1189.2572021484375,339.5613098144531,64.639892578125,418090227.8616777
311.01702880859375,336.65362548828125,59.95663070678711,418090228.7988948
111.56307983398438,331.3579406738281,59.966983795166016,418090255.8620844
911.8150634765625,338.08538818359375,64.20701599121094,418090281.6427775
162.71963500976562,338.95123291015625,65.99325561523438,418090416.7672171
2657.9990234375,338.3511657714844,61.12835693359375,418090445.4354004
126.59197998046875,338.91131591796875,61.41252899169922,418090497.86194324
265.4800109863281,342.6563720703125,67.03510284423828,418089719.06301606
215.98158264160156,345.6550598144531,61.00824737548828,418089875.68634135
116.01986694335938,348.30865478515625,64.96099090576172,418090642.1868553
358.0514831542969,341.9814453125,73.41339874267578,418090412.9144667
6871.95703125,326.872314453125,64.47858428955078,418090446.750649
413.1903076171875,318.7599182128906,67.85025787353516,418090525.6866404
162.99884033203125,327.4637145996094,59.81123352050781,418090210.2858156
