ENERGY,L,B,TIME
264.55279541015625,30.411174774169922,-53.820011138916016,263607783.87700403
299.79339599609375,28.13097381591797,-55.30253219604492,263607782.620678
132.95584106445312,25.780864715576172,-59.30648422241211,263607782.77282444
161.18507385253906,28.48674201965332,-56.52851486206055,263607782.7955843
238.904296875,23.47591209411621,-60.979339599609375,263607783.0082147
285.3768310546875,27.348947525024414,-56.44566345214844,263607783.0820689
222.54605102539062,28.04254913330078,-55.62994384765625,263607783.2249971
420.59002685546875,28.232948303222656,-58.15736389160156,263607783.2758165
212.48028564453125,23.56389808654785,-58.08726501464844,263607783.72554162
135.72122192382812,26.09210968017578,-59.05381774902344,263607784.00152564
101.24417114257812,23.945066452026367,-60.0319709777832,263607786.009946
112.62052917480469,28.239416122436523,-59.25123596191406,263607790.7970443
144.0625457763672,28.356035232543945,-55.96426773071289,263607796.8659108
129.1857147216797,17.140329360961914,-61.423892974853516,263607805.93006244
160.40086364746094,25.338172912597656,-60.340728759765625,263607839.83486444
117.39444732666016,29.834089279174805,-61.886226654052734,263607924.70898044
120.38655853271484,26.615314483642578,-58.238555908203125,263607934.96540394
118.74434661865234,38.2514762878418,-58.529205322265625,263607782.81372353
135.85829162597656,30.53266716003418,-58.42839813232422,263607784.16491744
381.6191101074219,36.56687545776367,-56.295982360839844,263608214.6410843
273.6806335449219,36.08505630493164,-54.64501190185547,263608278.3283838
108.87945556640625,14.51246452331543,-58.670658111572266,263607575.1688859
726.0555419921875,25.910743713378906,-55.297542572021484,263607781.96743292
455.83270263671875,23.73104476928711,-54.37761306762695,263607782.00611058
526.2223510742188,25.211088180541992,-55.029972076416016,263607782.14646256
286.205322265625,25.551115036010742,-54.646400451660156,263607782.66587463
261.2295837402344,21.727689743041992,-57.641517639160156,263607782.66629416
1274.4248046875,24.34942626953125,-55.234100341796875,263607782.70223358
1863.879150390625,26.157241821289062,-54.637569427490234,263607782.70278257
3462.9560546875,24.458486557006836,-55.09928894042969,263607782.70694143
811.42529296875,24.479778289794922,-55.11678695678711,263607782.7087943
196.16586303710938,18.266651153564453,-55.468971252441406,263607782.73233292
103.27116394042969,22.590557098388672,-56.03919982910156,263607782.738294
246.80154418945312,25.446104049682617,-54.978729248046875,263607782.739996
257.509765625,24.601150512695312,-55.18030548095703,263607782.76083034
532.1646118164062,23.841510772705078,-55.29607391357422,263607782.76306698
1389.4034423828125,24.078882217407227,-55.40348815917969,263607782.76310843
2527.076416015625,24.95850372314453,-54.87508010864258,263607782.76417732
358.7412109375,25.589662551879883,-55.989654541015625,263607782.76504776
256.46600341796875,25.389005661010742,-55.00590515136719,263607782.78703204
198.8648223876953,23.930192947387695,-54.46858215332031,263607782.79007775
815.8578491210938,26.332088470458984,-55.20815658569336,263607782.79286158
2008.6827392578125,22.781082153320312,-54.4661979675293,263607782.79919028
29914.779296875,24.5468807220459,-55.10453414916992,263607782.7993189
111.88994598388672,22.730188369750977,-57.543678283691406,263607782.79996857
1253.6728515625,24.965497970581055,-55.572486877441406,263607782.80009636
438.6910095214844,23.67091941833496,-55.25973129272461,263607782.8165048
6642.53076171875,24.59917449951172,-55.155487060546875,263607782.81672934
234.2831573486328,24.70064926147461,-55.21106719970703,263607782.8185278
917.2850341796875,24.738805770874023,-55.132991790771484,263607782.8218022
246.2953643798828,23.91496467590332,-55.034141540527344,263607782.8546118
